Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls   s/call   s/call  name    
 86.27      3.33     3.33        2     1.67     1.67  conv_forward_cpu(float*, float const*, float const*, int, int, int, int, int, int)
  1.30      3.38     0.05 15953396     0.00     0.00  Eigen::internal::noncopyable::~noncopyable()
  1.04      3.42     0.04  8346241     0.00     0.00  Eigen::internal::evaluator<Eigen::PlainObjectBase<Eigen::Matrix<float, -1, -1, 0, -1, -1> > >::evaluator(Eigen::PlainObjectBase<Eigen::Matrix<float, -1, -1, 0, -1, -1> > const&)
  1.04      3.46     0.04  8346120     0.00     0.00  Eigen::DenseCoeffsBase<Eigen::Matrix<float, -1, -1, 0, -1, -1>, 1>::operator()(long, long)
  0.78      3.49     0.03  8352320     0.00     0.00  Eigen::internal::evaluator<Eigen::PlainObjectBase<Eigen::Matrix<float, -1, -1, 0, -1, -1> > >::coeffRef(long, long)
  0.78      3.52     0.03        2     0.02     0.23  MaxPooling::forward(Eigen::Matrix<float, -1, -1, 0, -1, -1> const&)
  0.65      3.55     0.03 16700658     0.00     0.00  Eigen::PlainObjectBase<Eigen::Matrix<float, -1, -1, 0, -1, -1> >::rows() const
  0.52      3.57     0.02  3196820     0.00     0.00  std::vector<int, std::allocator<int> >::operator[](unsigned long)
  0.52      3.59     0.02  2602932     0.00     0.00  void Eigen::internal::pstore<float, float __vector(4)>(float*, float __vector(4) const&)
  0.52      3.61     0.02  1102400     0.00     0.00  void Eigen::internal::generic_dense_assignment_kernel<Eigen::internal::evaluator<Eigen::Matrix<float, -1, 1, 0, -1, 1> >, Eigen::internal::evaluator<Eigen::Block<Eigen::Matrix<float, -1, -1, 0, -1, -1> const, -1, 1, true> >, Eigen::internal::assign_op<float, float>, 0>::assignPacket<16, 0, float __vector(4)>(long)
  0.39      3.62     0.02 15953396     0.00     0.00  Eigen::internal::noncopyable::noncopyable()
  0.39      3.64     0.02 15213260     0.00     0.00  Eigen::EigenBase<Eigen::Matrix<float, -1, 1, 0, -1, 1> >::derived() const
